source	target	Class_A_source	Class_B_source	Class_A_target	Class_B_target
map00910	map00250	Metabolism	Amino acid metabolism	Metabolism	Energy metabolism
map00920	map00430	Metabolism	Metabolism of other amino acids	Metabolism	Energy metabolism
map00920	map00270	Metabolism	Amino acid metabolism	Metabolism	Energy metabolism
map00920	map00260	Metabolism	Amino acid metabolism	Metabolism	Energy metabolism
map00970	map00270	Metabolism	Amino acid metabolism	Genetic Information Processing	Translation
map00970	map00330	Metabolism	Amino acid metabolism	Genetic Information Processing	Translation
map00970	map00300	Metabolism	Amino acid metabolism	Genetic Information Processing	Translation
map00970	map00400	Metabolism	Amino acid metabolism	Genetic Information Processing	Translation
map00970	map00260	Metabolism	Amino acid metabolism	Genetic Information Processing	Translation
map00970	map00250	Metabolism	Amino acid metabolism	Genetic Information Processing	Translation
