ID	YX-1	YX-2	YX-3	YX-4	ZH-1	ZH-2	ZH-3	ZH-4	type
CSS0025629	19278.48	9658.01	5971.67	55127.25	3172.63	2008.7	4192.54	1996.4	down
novel3817	20	22	17	16	0	0	0	1	down
CSS0038493	618.96	416.39	352.36	121	59	39	107	35	down
CSS0025959	61.16	32.29	37.73	70.82	53.78	276.55	399.75	332.09	up
CSS0000930	251.06	597.01	1038.97	611.5	61	2	0	1	down
CSS0007762	5200.98	5170.54	5362	5921	8735.99	4878	10897	9420.99	nodiff
CSS0001096	725	782	590	1102	177	182	190	279	down
novel5028	0	1	0	0	81	34	114	0	up
CSS0029489	164.04	123.71	118.71	111.22	321.15	135	312.79	224.22	up
CSS0030171	223.8	367.35	9.03	346.15	0	0	0	8.05	down
novel6934	0	1	1	3	137	2.98	3	142	up
CSS0011024	2	139	144	132	4	2	5	0	down
CSS0039464	0	808.1	582	414.47	1	0	0	0	down
CSS0041567	627	552	383	540	1102	515	1350	680	up
CSS0011795	218	369	646	2332	108	70	109	96	down
CSS0035474	111.12	135.85	0	93.95	0	0.75	0	0	down
CSS0040299	9	5	37	93	0	0	0	0	down
novel1040	25	24	20	11	1	0	0	0	down
CSS0026975	1167	1259	1469	765	4756	4011	2028	2300	up
novel461	82.84	3	63.48	64.58	0	0	2	0	down
CSS0005571	106.5	385.35	282.16	785.81	1237.06	1651.66	1201.8	1545.59	up
