Index	A1	A2	A3	A4	B1	B2	B3	B4	C1	C2	C3	C4
MEDN394	25200	27300	25400	25600	29700	29700	29600	30600	26800	29100	31400	32500
MEDN395	69300	92900	69400	69400	97600	104000	116000	110000	90700	105000	119000	92200
MEDN404	12600	22200	13500	14500	20100	19000	16700	18900	90600	101000	112000	72400
MEDN409	36800	35200	36300	35900	33400	34300	36100	31200	33100	33000	32900	36400
MEDN411	60600	55500	58200	55900	74800	72400	67600	68800	75700	74700	73600	87600
MEDN421	34800	53800	47300	59800	30700	20500	9	26700	9	9	9	9
MEDN425	23400000	23900000	23500000	23700000	18900000	19400000	20500000	19400000	20000000	20200000	20500000	20500000
MEDN434	57800	72000	69600	81400	126000	115000	92800	119000	102000	99600	96900	63800
MEDN444	33900000	33300000	37500000	41200000	87300000	88600000	91300000	82100000	32100000	27500000	22800000	20500000
MEDN452	136000	145000	166000	196000	411000	378000	312000	359000	164000	157000	149000	157000
MEDN461	8830	11100	8560	8290	13500	14100	15100	14800	8700	12400	16000	17400
MEDN462	439000	443000	435000	432000	1050000	1030000	1000000	1070000	901000	788000	675000	790000
MEDN463	263000	568000	420000	576000	3790000	3950000	4280000	4130000	2160000	2520000	2890000	2330000
MEDN466	106000	139000	128000	151000	117000	116000	113000	112000	89800	120000	151000	129000
MEDN470	435000	438000	439000	443000	418000	425000	438000	445000	391000	379000	367000	343000
MEDN478	74200	94800	73800	73400	268000	255000	228000	218000	129000	126000	124000	157000
MEDN480	1510000	1560000	1590000	1670000	1810000	3000000	5390000	2280000	3060000	2130000	1200000	1570000
MEDN485	98700	84600	125000	152000	200000	252000	355000	229000	217000	205000	194000	170000
MEDN486	4550000	4930000	4580000	4620000	4430000	4610000	4970000	5510000	4160000	5080000	6010000	3440000
MEDN491	3180	3920	3110	3050	5150	5200	5310	5490	6830	7280	7730	6760
MEDN494	1920000	2020000	2070000	2220000	3380000	3440000	3550000	3360000	6450000	6420000	6380000	6850000
MEDN496	126000	180000	146000	167000	289000	273000	240000	276000	114000	106000	97100	90500
MEDN498	63500	99100	97100	131000	331000	364000	431000	342000	125000	136000	148000	102000
MEDN499	44600	161000	89000	133000	769000	729000	648000	710000	420000	552000	685000	565000
MEDN502	124000	216000	169000	214000	237000	227000	206000	223000	191000	252000	314000	223000
MEDN506	260000	391000	316000	372000	639000	636000	631000	657000	691000	538000	385000	868000
MEDN507	5040	8520	6240	7430	5320	4720	3510	4800	6130	6610	7090	3260
MEDN530	71900	95600	93700	115000	253000	264000	286000	286000	258000	216000	174000	203000
MEDN533	500000	712000	646000	792000	8090000	7370000	5930000	7900000	1330000	1130000	938000	774000
MEDN535	10500	14200	11800	13100	93100	100000	114000	96100	81200	73700	66300	40600
MEDN537	149000	110000	117000	84200	834000	603000	141000	778000	91000	65700	40300	57100
MEDN538	144000	137000	152000	161000	304000	203000	9	253000	106000	89200	72500	63700
MEDN541	32600	28500	29500	26400	30300	29700	28600	28900	36700	33600	30500	30100
MEDN543	74700	100000	102000	128000	240000	250000	271000	256000	269000	216000	163000	172000
MEDN553	2330000	2870000	2460000	2600000	6130000	5880000	5390000	6320000	4040000	3310000	2590000	3120000
MEDN554	213000	246000	223000	232000	217000	217000	217000	234000	172000	142000	112000	159000
MEDN555	127000	146000	141000	156000	490000	480000	460000	493000	447000	412000	378000	362000
MEDN563	68800	52600	108000	147000	102000	94400	79100	66600	83700	177000	270000	459000
MEDN565	91100000	100000000	97300000	104000000	146000000	148000000	152000000	141000000	244000000	240000000	236000000	249000000
MEDN572	382000	442000	417000	452000	723000	691000	626000	675000	583000	620000	657000	657000
MEDN574	15100	20800	21400	27600	25300	20800	11700	18900	17300	19500	21700	12000
MEDN579	25000	27300	34200	43400	40000	36800	30300	39800	38500	34900	31300	33400
MEDN580	1300000	2900000	2020000	2750000	13200000	13900000	15300000	14500000	8150000	8970000	9780000	7790000
MEDN588	579000	633000	680000	782000	3770000	4990000	7420000	4580000	6170000	4750000	3340000	5910000
MEDN593	42900	17600	41200	39500	226000	204000	160000	202000	333000	271000	210000	134000
MEDN594	9	9	9	9	9	9	9	9	71900	86600	101000	59800
MEDN596	1280000	3090000	2060000	2840000	12900000	13500000	14800000	12900000	8280000	9060000	9840000	8090000
MEDN602	367000	567000	801000	1230000	1160000	1220000	1330000	9	1540000	1490000	1440000	945000
MEDN604	12500	9340	11400	10400	11500	11200	10700	10400	12800	11800	10700	11700
MEDN605	534000	514000	511000	489000	521000	477000	389000	589000	865000	840000	816000	597000
MEDN607	226000	228000	238000	250000	211000	205000	193000	219000	139000	159000	179000	151000
MEDN611	115000	137000	151000	187000	267000	259000	242000	255000	255000	279000	304000	317000
MEDN615	1750000	1640000	1790000	1830000	7280000	6950000	6310000	6960000	3660000	2950000	2230000	2900000
MEDN616	48000	41500	47400	46900	39400	39800	40600	31100	43000	45100	47200	36400
MEDN617	36700	36900	27500	18300	16600	21300	30700	22500	31900	25500	19000	21500
MEDN622	81600	72500	106000	130000	99500	97100	92200	117000	51000	78800	107000	54700
MEDN644	189000	303000	272000	355000	961000	982000	1020000	864000	499000	462000	425000	334000
MEDN651	917000	660000	747000	576000	632000	540000	357000	596000	965000	972000	978000	582000
MEDN654	15000	14700	15100	15200	9870	10400	11500	10300	10800	10700	10500	9540
MEDN657	189000	376000	278000	367000	956000	1020000	1160000	959000	436000	427000	419000	367000
MEDN658	82000	74200	79400	76800	89900	87100	81600	88000	92000	96800	102000	101000
MEDN659	362000	497000	403000	444000	492000	462000	401000	430000	393000	392000	392000	283000
MEDN661	17500	18800	17100	16800	15700	15300	14400	17600	21400	17700	14000	13300
MEDN662	91100	101000	106000	122000	526000	503000	458000	495000	308000	286000	264000	241000
MEDN667	4040000	3860000	4060000	4080000	5510000	7020000	10100000	6610000	4980000	3780000	2580000	2800000
MEDN668	1330000	1470000	1380000	1420000	1710000	2740000	4790000	2170000	2900000	2150000	1390000	1350000
MEDN673	80100	97800	85800	91500	107000	106000	105000	102000	94000	99800	106000	94000
MEDN675	29500	36500	31700	33900	38700	38000	36500	36800	39100	38300	37500	41300
MEDN678	148000	179000	232000	316000	213000	201000	177000	227000	130000	176000	222000	113000
MEDN681	124000000	129000000	125000000	126000000	106000000	108000000	113000000	108000000	108000000	111000000	115000000	115000000
MEDN682	20300	18500	20000	19700	19600	19200	18300	19000	19000	18900	18800	20800
MEDN686	326000	313000	313000	300000	390000	353000	279000	117000	537000	427000	316000	293000
MEDN689	985000	954000	863000	741000	956000	1020000	1150000	1000000	915000	859000	803000	646000
MEDN693	93900	84300	95400	96900	124000	123000	120000	124000	107000	101000	95100	76300
MEDN694	417000	421000	395000	373000	342000	346000	354000	360000	377000	377000	377000	406000
MEDN720	9	9	2460	4910	8500	8160	7480	7300	22000	26400	30800	23700
MEDN724	952000	1700000	1420000	1890000	2420000	2150000	1610000	2230000	1180000	1840000	2500000	1410000
MEDN725	105000	105000	122000	139000	158000	154000	147000	154000	135000	139000	144000	128000
MEDN726	981000	921000	867000	752000	858000	949000	1130000	961000	884000	874000	864000	692000
MEDN727	436000	465000	471000	505000	499000	490000	471000	501000	529000	499000	470000	466000
MEDN728	25300	23600	25200	25100	23000	23000	23100	23800	22600	23700	24800	21500
MEDN730	128000	133000	145000	163000	209000	182000	128000	64600	220000	194000	168000	151000
MEDN731	1980000	2050000	2040000	2100000	2180000	2160000	2130000	2200000	1990000	2100000	2220000	2260000
MEDN732	69200	73300	71200	73300	84400	83900	82900	85100	83600	86400	89300	91500
MEDN733	652000	681000	664000	675000	748000	747000	745000	760000	659000	727000	796000	842000
MEDN734	128000000	137000000	130000000	131000000	109000000	111000000	116000000	110000000	112000000	114000000	116000000	115000000
MEDN736	181000	282000	203000	224000	179000	206000	259000	247000	207000	258000	310000	154000
MEDN738	1020000	911000	912000	803000	975000	1010000	1070000	983000	821000	798000	774000	735000
MEDN743	127000000	135000000	127000000	128000000	108000000	111000000	117000000	109000000	111000000	112000000	113000000	114000000
MEDN744	1230000	1140000	1090000	948000	863000	915000	1020000	851000	874000	832000	791000	1060000
MEDN745	20300	20500	21700	23100	20000	19700	19000	20800	23500	21600	19700	17400
MEDN747	195000	196000	199000	203000	212000	207000	197000	210000	193000	204000	215000	223000
MEDN748	104000	100000	107000	110000	108000	109000	113000	103000	121000	111000	101000	94500
MEDN751	9	9	9	9	41800	42700	44400	49300	42900	33900	24900	24200
MEDN752	4380	6520	5320	6260	17400	18000	19300	18500	13800	12400	11000	16200
MEDN756	14700	20800	16300	18000	46100	45400	44000	46100	37600	33800	30100	37300
MEDN758	9	9	9	9	9220	10500	13000	11200	8840	8050	7270	6380
MEDN759	9	9	9	9	10300	11900	15200	13000	11200	8910	6660	5850
MEDN760	8000	11700	9920	11800	111000	127000	159000	138000	114000	88700	63200	75400
MEDN763	5440	9620	6940	8440	20800	21600	23300	24100	24500	21900	19300	23800
MEDN764	706000	1090000	833000	960000	2090000	2180000	2340000	2360000	2450000	2360000	2270000	2600000
MEDN765	687000	1080000	809000	930000	2040000	2140000	2340000	2290000	2410000	2360000	2300000	2540000
MEDN768	29400	27300	31100	32900	18100	16500	13400	18700	25100	23000	21000	21700
MEDN771	14200	12600	15000	15700	11300	11500	11900	12400	33400	28500	23700	24500
MEDN776	9	9	1760	3500	8380	8630	9110	9860	8730	7800	6880	9030
MEDN779	3970	5980	4840	5720	39700	47400	63000	50700	42800	33600	24400	34700
MEDN781	853000	1340000	1020000	1180000	1850000	1750000	1540000	1920000	1160000	1150000	1130000	1240000
MEDN783	6470	4620	7360	8260	5100	6040	7910	5000	9730	8550	7370	8940
MEDN784	11900	9190	11500	11100	5550	4960	3760	5660	7940	9170	10400	7940
MEDN789	5380	9000	6410	7450	22800	22500	21700	23300	19400	18000	16600	20300
MEDN791	127000	166000	141000	155000	349000	349000	351000	336000	258000	259000	261000	297000
MEDN792	454000	590000	496000	537000	1290000	1280000	1270000	1330000	1050000	999000	947000	1110000
MEDN793	803000	1250000	985000	1170000	3830000	3730000	3530000	3900000	2870000	2710000	2550000	2950000
MEDN794	5890	6940	6170	6450	7750	7600	7310	7550	6450	6700	6960	4780
MEDN795	15200	24900	16200	17100	33400	31800	28400	32400	27500	26500	25500	28900
MEDN797	55300	86900	70600	85800	267000	257000	237000	275000	207000	190000	174000	212000
MEDN808	2380000	2240000	2400000	2420000	6380000	6330000	6240000	6490000	4970000	3930000	2900000	3620000
MEDN813	19000	28600	18900	18900	26100	23600	18600	28200	38000	34400	30800	31200
MEDN818	109000	146000	119000	130000	288000	290000	295000	244000	172000	148000	123000	126000
MEDN821	2320000	2580000	2340000	2370000	6080000	6070000	6060000	6270000	4790000	3840000	2890000	3560000
MEDN823	100000	73900	97900	95900	138000	147000	164000	121000	9	9	9	9
MEDN827	543000	1020000	620000	697000	1210000	1180000	1120000	1190000	1610000	1450000	1290000	1290000
MEDN835	9	4940	2700	5400	24500	22900	19800	24700	9	2250	4500	3610
MEDN841	7570	5660	9130	10700	16600	16500	16300	17400	18000	13800	9530	5050
MEDN843	56800	42600	52100	47400	77900	74000	66100	69200	83600	77900	72200	101000
MEDN844	298000	373000	300000	302000	189000	195000	208000	183000	304000	284000	263000	286000
MEDN846	9040	9140	8800	8560	10200	10600	11300	8920	14300	14100	13900	12600
MEDN854	278000	221000	221000	164000	211000	225000	253000	208000	173000	197000	222000	199000
MEDN859	54100	50900	50400	46700	42700	43900	46300	43500	42200	42700	43100	40300
MEDP006	108000	68500	101000	93200	135000	125000	104000	96900	182000	136000	89500	114000
MEDP009	30800000	39100000	35800000	40800000	69600000	67400000	62900000	64600000	70300000	72300000	74200000	69400000
MEDP010	4730000	5320000	5180000	5630000	8400000	8310000	8130000	8550000	13000000	11800000	10700000	10600000
MEDP011	8610000	11600000	9950000	11300000	18100000	17800000	17200000	17700000	22900000	24100000	25400000	22300000
MEDP013	1500000	1060000	1360000	1210000	2460000	2250000	1820000	2190000	2680000	1930000	1190000	1720000
MEDP014	1930000	1460000	1900000	1870000	2290000	2310000	2360000	1870000	3460000	2400000	1340000	1990000
MEDP015	93500	86900	99900	106000	107000	111000	120000	74300	182000	150000	118000	139000
MEDP017	459000	610000	456000	454000	477000	689000	1110000	419000	997000	943000	889000	1070000
MEDP018	69600000	87000000	79700000	89800000	128000000	125000000	119000000	130000000	106000000	109000000	112000000	120000000
MEDP019	67000000	80400000	74900000	82800000	121000000	118000000	111000000	124000000	106000000	103000000	101000000	119000000
MEDP020	4670000	6720000	5680000	6690000	10900000	10400000	9400000	9770000	8640000	8940000	9250000	8880000
MEDP023	651000	638000	695000	740000	1190000	1140000	1040000	1020000	2520000	2550000	2580000	2230000
MEDP025	15200000	18900000	17600000	20100000	33400000	31800000	28600000	31000000	26400000	27400000	28400000	25100000
MEDP026	50500000	61900000	57500000	64500000	77600000	77700000	77800000	71700000	112000000	108000000	103000000	84500000
MEDP028	67900	79100	72600	77200	86600	87100	88100	99800	118000	134000	149000	153000
MEDP031	1220000	1230000	1230000	1240000	1300000	1290000	1280000	1280000	1240000	1230000	1210000	1290000
MEDP032	924000	1140000	784000	644000	760000	737000	691000	693000	809000	616000	422000	424000
MEDP035	46900	74000	59700	72600	116000	115000	115000	103000	80400	88700	97000	116000
MEDP036	706000	641000	778000	850000	1170000	1150000	1100000	1010000	3000000	2740000	2470000	2650000
MEDP038	740000	722000	736000	732000	817000	829000	855000	791000	849000	828000	807000	837000
MEDP039	5280000	5060000	5170000	5060000	4910000	4940000	5010000	4910000	5080000	5160000	5250000	4990000
MEDP044	5230000	6230000	6080000	6920000	13700000	12800000	11200000	13600000	7800000	7710000	7620000	7860000
MEDP047	941000	901000	974000	1010000	816000	924000	1140000	682000	1350000	1160000	961000	939000
MEDP055	37200	47800	35200	33200	47200	42800	34100	32800	49000	54200	59400	44600
MEDP056	342000	251000	310000	279000	111000	123000	148000	82300	681000	602000	524000	469000
MEDP059	1320000	1920000	1480000	1640000	2360000	2380000	2440000	2450000	3710000	3560000	3420000	3210000
MEDP060	32300	25100	40600	48800	82700	88100	98900	72900	52800	49600	46400	35900
MEDP061	3820000	4020000	3900000	3980000	4860000	5030000	5370000	4970000	6200000	5510000	4820000	5640000
MEDP067	154000	127000	121000	87900	132000	124000	108000	123000	56900	42100	27400	68500
MEDP069	34300	29400	28600	22800	32700	32400	32000	34500	31600	35500	39300	30200
MEDP075	376000	480000	386000	396000	409000	411000	415000	414000	404000	410000	416000	485000
MEDP078	40100	36200	43600	47100	36500	31100	20300	33800	9620	9450	9280	7060
MEDP080	53800	42000	53100	52300	166000	147000	110000	111000	149000	124000	99200	99300
MEDP082	273000	322000	277000	280000	322000	327000	338000	328000	301000	279000	258000	330000
MEDP084	824000	765000	777000	729000	794000	791000	784000	797000	816000	813000	810000	745000
MEDP086	11100000	10900000	11000000	11000000	10600000	10600000	10500000	10700000	10800000	10800000	10900000	10700000
MEDP087	114000	141000	142000	170000	214000	193000	150000	179000	799000	863000	926000	766000
MEDP089	625000	774000	728000	831000	1890000	1890000	1880000	1830000	1210000	1030000	851000	930000
MEDP101	1180000	1550000	1320000	1470000	2810000	2750000	2630000	2630000	2890000	3010000	3130000	2950000
MEDP102	9	9	9	9	69400	65000	56300	64300	46300	48500	50600	58100
MEDP108	116000	96500	106000	97200	111000	112000	113000	121000	129000	120000	111000	111000
MEDP109	12400	9140	12200	12000	9820	9510	8880	10300	9200	11000	12700	11500
MEDP113	110000	90600	92000	73600	90400	91600	93800	86100	65700	72100	78600	77500
MEDP114	2350000	3020000	2730000	3110000	5380000	5050000	4380000	5050000	4430000	4730000	5040000	4350000
MEDP115	11000000	12000000	11300000	11700000	43700000	39600000	31400000	44500000	21800000	17400000	13100000	15100000
MEDP116	98900	141000	123000	146000	264000	265000	266000	255000	283000	289000	294000	321000
MEDP123	29200	40400	31400	33600	31200	33100	36700	31900	16400	19600	22700	28700
MEDP125	907000	923000	935000	964000	1120000	1170000	1280000	1180000	1340000	1240000	1140000	1270000
MEDP127	14400000	13300000	14000000	13600000	11600000	11800000	12100000	11600000	11300000	11700000	12100000	11900000
MEDP128	103000	82000	85100	67300	111000	103000	87700	89700	181000	128000	73800	90100
MEDP129	122000	109000	128000	134000	240000	223000	188000	240000	180000	180000	181000	185000
MEDP130	205000	138000	156000	108000	147000	139000	123000	163000	99900	115000	131000	116000
MEDP134	180000	154000	134000	87600	132000	141000	159000	105000	199000	200000	202000	175000
MEDP140	123000	181000	148000	173000	1980000	1800000	1440000	1890000	263000	228000	193000	179000
MEDP147	75100	99500	116000	158000	137000	118000	81300	104000	212000	232000	252000	194000
MEDP149	49400	72300	63700	77900	410000	362000	266000	317000	133000	122000	111000	155000
MEDP151	624000	503000	677000	730000	603000	543000	425000	515000	203000	166000	130000	196000
MEDP152	1800000	6050000	6920000	12000000	9250000	12300000	18400000	4600000	2420000	2600000	2790000	3260000
MEDP154	243000	236000	237000	231000	324000	322000	317000	295000	396000	391000	385000	355000
MEDP159	323000	408000	395000	467000	890000	898000	913000	910000	896000	942000	987000	943000
MEDP160	2200000	3100000	2730000	3270000	9230000	8330000	6530000	8330000	7350000	6200000	5060000	6250000
MEDP161	31500	35900	29800	28200	206000	170000	98700	149000	60600	40400	20200	49800
MEDP163	3680000	3230000	3210000	2740000	2880000	3120000	3590000	2150000	5360000	4260000	3160000	3030000
MEDP165	2100000	2420000	2360000	2630000	4320000	4460000	4750000	3940000	4610000	4130000	3660000	4030000
MEDP170	24100000	33600000	28400000	32600000	67500000	64700000	59100000	65200000	44500000	40200000	35900000	35900000
MEDP174	133000	179000	144000	156000	359000	336000	288000	342000	272000	283000	295000	291000
MEDP176	25000	18500	25900	26900	44700	54000	72500	50300	61100	38400	15700	17100
MEDP178	3340000	4330000	3790000	4230000	12800000	11900000	9930000	12200000	1940000	1520000	1090000	1130000
MEDP179	4180000	4110000	4380000	4570000	15900000	14800000	12600000	14900000	2940000	2080000	1220000	1450000
MEDP180	457000	642000	427000	396000	560000	818000	1330000	498000	2030000	1470000	904000	1580000
MEDP185	362000	298000	331000	300000	622000	648000	700000	486000	534000	395000	255000	325000
MEDP188	153000	130000	149000	144000	185000	180000	169000	197000	760000	865000	971000	707000
MEDP205	258000	170000	241000	224000	345000	326000	287000	295000	195000	155000	115000	199000
MEDP218	65300	52800	65300	65200	55500	56500	58500	51300	50400	53100	55700	64400
MEDP219	45600	70500	57500	69400	63500	67100	74100	60200	61000	59800	58600	55800
MEDP222	143000	141000	143000	143000	133000	132000	130000	131000	113000	118000	122000	124000
MEDP223	1880000	1370000	1670000	1450000	1360000	1280000	1130000	1530000	1180000	1280000	1380000	1450000
MEDP225	2370000	1820000	2070000	1780000	2150000	2250000	2460000	1900000	2380000	2280000	2180000	2490000
MEDP226	2530000	2170000	2360000	2180000	2510000	2560000	2660000	2180000	2850000	2610000	2370000	2640000
MEDP229	17000	20100	17700	18400	69500	74100	83200	64900	142000	210000	278000	245000
MEDP230	31100	27300	32500	33900	76700	73500	67100	87500	39400	40700	42100	33800
MEDP232	37200	19700	28000	18900	21700	23300	26600	24300	26500	17700	8890	18700
MEDP234	101000	111000	97400	93600	51300	53700	58500	38600	49800	55200	60600	63300
MEDP239	111000	106000	99800	89200	73500	78800	89200	92300	80200	79900	79500	84400
MEDP240	1040000	1140000	1190000	1340000	2010000	1870000	1590000	1700000	6880000	8580000	10300000	8300000
MEDP242	16800000	21100000	19200000	21700000	45500000	45700000	46000000	48900000	28800000	27400000	26000000	20000000
MEDP244	911000	1140000	977000	1040000	580000	535000	447000	541000	488000	436000	385000	400000
MEDP246	91100	128000	123000	156000	246000	242000	236000	251000	263000	276000	289000	239000
MEDP249	47400	36500	48600	49900	46600	48600	52500	52300	47100	44100	41000	45800
