Index	A1	A2	A3	A4	B1	B2	B3	B4	C1	C2	C3	C4
MEDP494	623000	555000	611000	599000	1230000	1210000	1180000	1260000	1570000	1310000	1050000	1260000
MEDP498	10800000	10000000	10700000	10600000	14600000	13800000	12100000	14100000	15200000	13800000	12400000	12900000
MEDP507	7560000	9830000	8830000	10100000	17300000	16900000	16200000	17000000	18000000	19300000	20500000	18600000
MEDP508	23900000	21000000	23400000	22900000	23300000	22500000	20900000	23100000	25800000	26500000	27300000	24000000
MEDP509	3720000	3560000	3790000	3870000	4810000	4620000	4240000	4520000	3970000	4040000	4110000	3730000
MEDP510	778000	841000	790000	803000	1470000	1420000	1310000	1460000	822000	848000	874000	691000
MEDP511	237000	204000	232000	226000	265000	266000	270000	268000	266000	293000	320000	272000
MEDP513	2710000	2890000	2580000	2450000	1460000	1380000	1210000	1120000	1170000	1700000	2240000	2000000
MEDP514	153000	180000	200000	247000	834000	774000	656000	834000	1100000	1280000	1450000	940000
MEDP518	369000	449000	432000	494000	937000	908000	850000	830000	508000	468000	428000	451000
MEDP519	917000	939000	1120000	1320000	1920000	1830000	1650000	1770000	1480000	1570000	1650000	1370000
MEDP523	964000	698000	758000	553000	1000000	967000	894000	909000	858000	626000	395000	412000
MEDP525	3440000	2280000	2950000	2460000	10100000	9150000	7190000	8840000	9040000	6060000	3070000	4500000
MEDP531	38600	34500	36500	34400	35400	34800	33700	38600	30400	31900	33400	26600
MEDP535	691000	707000	650000	609000	541000	544000	550000	567000	623000	584000	545000	527000
MEDP537	42500000	51100000	47300000	52100000	88100000	87200000	85200000	85300000	76800000	69500000	62300000	61100000
MEDP545	918000	1010000	945000	972000	2220000	1880000	1200000	1970000	1880000	1740000	1600000	1670000
MEDP555	7540	10300	9020	10500	24500	22800	19400	27800	14300	14900	15500	18900
MEDP561	78400	74300	76200	74000	70600	73100	78100	67100	79400	73500	67500	84200
MEDP566	7410	10500	8070	8740	28100	25500	20200	28500	15600	15500	15400	14700
MEDP574	6840000	6900000	6530000	6220000	4280000	4050000	3590000	3310000	3600000	5150000	6700000	5300000
MEDP577	455000	516000	537000	620000	902000	841000	718000	838000	647000	634000	620000	554000
MEDP578	351000	417000	319000	287000	375000	401000	452000	402000	410000	394000	378000	350000
MEDP579	98500	123000	109000	119000	218000	203000	174000	210000	158000	167000	176000	150000
MEDP583	247000	335000	311000	374000	527000	511000	478000	501000	887000	1110000	1340000	916000
MEDP584	29800	11100	28700	27500	63600	59600	51800	66600	54900	55600	56300	54900
MEDP585	74400	79200	64800	55200	69000	65300	58000	75800	62200	59100	55900	72100
MEDP586	63300	64100	71800	80300	331000	308000	263000	301000	289000	302000	315000	234000
MEDP587	137000	167000	185000	232000	394000	381000	354000	361000	457000	406000	356000	337000
MEDP590	12700000	17400000	12500000	12300000	18700000	17200000	14300000	20200000	15700000	15700000	15600000	20000000
MEDP603	1240000	1670000	1440000	1640000	3110000	2900000	2480000	2720000	2440000	2600000	2760000	2450000
MEDP606	9890000	12200000	11200000	12400000	22300000	20300000	16300000	21700000	23600000	24600000	25500000	23500000
MEDP611	42300	41900	33200	24100	41600	43500	47400	23700	58400	50900	43300	25800
MEDP614	38000000	44900000	39500000	41000000	52400000	54000000	57200000	48300000	83000000	81000000	79000000	70000000
MEDP618	61000	73600	82500	104000	182000	173000	154000	168000	95200	83100	70900	66000
MEDP627	7120000	8960000	8110000	9090000	24800000	24300000	23200000	24500000	14700000	13400000	12000000	12100000
