ID	A1	A2	A3	A4	B1	B2	B3	B4
ID222001	0	0	0	0	0	22	144	65
ID222002	542	691	645	599	913	543	1050	665
ID222003	275	372	294	351	178	108	194	147
ID222004	1	1	9	5.19	4	120.22	68.13	107.1
ID222005	1.48	0	0.71	1.43	0.82	190.79	304.53	0
ID222006	239.46	166.31	141.79	180.87	19.73	28.08	38.85	51.88
ID222007	50	101	57	150.32	20	15	18	17
ID222008	69.75	75.59	53.48	80.51	11.85	11.75	29.1	8.92
ID222009	2581.55	997.91	1405.78	1085.08	358.38	225.89	425.68	406.82
ID222010	3	8	2.05	4	29	16	35	13.64
ID222011	40.83	26.44	26.61	45.93	1553.88	23.44	667.49	41.39
ID222012	208.56	59.57	36.31	414.76	13.86	0	16.95	7
ID222013	88.4	85.49	0	118.91	0	0	0	0
ID222014	142.36	11.12	86.82	118.21	9.27	2.02	2.01	8.11
ID222015	1294	1577	1526	2388	680	563	516	532
ID222016	6	18.58	12.62	7.08	13.11	65	159	100.03
ID222017	45.84	257.32	76.41	58.23	587.33	437.29	282.38	422.12
ID222018	1.9	6.38	0	0	138.94	162.62	308.95	0
ID222019	1.05	5.22	1.03	5.33	7.4	107.3	157.19	5.39
ID222020	5	4	6	2	1	70.71	670.04	10
ID222021	147	99	105	158	28	24	29	41
ID222022	36.4	67.12	99.59	85.05	153.04	415.56	213.38	259.72
ID222023	115	38	46	27	18	621	1687	607
ID222024	0	0	0	0	94.38	0	63.19	30.2
ID222025	156.51	180.79	204.14	113.84	796.42	409.31	1379.02	148.41
ID222026	144.92	41.47	130.36	253.94	27.41	8.48	15.55	24.41
ID222027	35.33	16.52	14.3	22.19	48.71	77.98	209.35	61.29
ID222028	1266.07	1794.21	772.82	1271.91	2662.93	2425.81	3481.45	1458.49
ID222029	148	271	142	160	297	252	444	275
ID222030	0	122	52	119	0	0	0	0
ID222031	228.52	171.4	105.34	139.91	22.76	19.37	68.2	16.48
ID222032	0	0	3	5	21.02	143	1	261.59
ID222033	8.6	57.08	30.88	10.05	0	0	0	1
ID222034	2141.79	2448.84	3469.86	1419.73	5829.96	3642.65	6370.82	4721.94
ID222035	42	31	63	94	4	0	0	6
ID222036	0	0	0	0	0	38.38	91.12	43.71
ID222037	1660	110	1105	605	86	82	133	77
ID222038	6	17	6	13.07	56	75.41	20.15	63
ID222039	9.12	43.45	4.8	43.15	0	0	0	0
ID222040	67	75	24	35	72	324	236	286
ID222041	0	0	0	0	0	178	38	10
ID222042	1815	1883	2194.92	2603	1237	798	1174	759
ID222043	6.97	176	68	155	5	3	9	8
ID222044	11.56	8.05	68.23	101.46	0	0	2	0
ID222045	0	2	2	1.02	44	39	58	1
ID222046	22.24	0	16.94	4.8	1916.44	8.86	859.96	7.85
ID222047	262.2	107.9	279.49	607.16	67.58	38.62	66.48	58.38
ID222048	303.43	254.59	331.41	508.32	709.2	434.17	726.16	444.53
ID222049	33.48	42.85	18.67	29.86	132.4	77.53	59.16	63.22
ID222050	1441.99	329	1194	6522	195	140	432	134
ID222051	17.21	1.26	3.89	2.02	6.75	327.9	647.64	3.79
ID222052	3703	4548	6171	6182	11532	5240	9121	6865
ID222053	1068.54	814.67	1565.62	1091.98	4245.1	1446.4	3437	1504.58
ID222054	0	0	0	0	4.09	64.05	230.94	0
ID222055	15.51	400.65	412.56	34.78	12.93	8.5	13.12	13.41
ID222056	3	8	6	4	24	20	21	38
ID222057	985	1003.24	969.81	893.97	1970.36	862	1470	1110
ID222058	239	380	169	396	116	71	139	77
ID222059	8	1	9	3	39	15	69	41
ID222060	17	13.48	71.28	5.24	0	0	0	0
ID222061	112.9	96.78	109.89	89.05	324.15	125.67	364.76	119.7
ID222062	24	15.63	16	25.08	48.01	35.92	79.81	40.95
ID222063	31.99	41.55	15.4	11	60.05	381.62	41.13	300.31
ID222064	2.62	16.22	6.9	2.07	408.11	11.7	231.85	5
ID222065	12	15	18	19	1	0	0	0
ID222066	0.41	0	0	0	81.33	17.07	86.56	0
ID222067	4.93	12.16	1.67	5.91	8.37	356.07	0	618.52
ID222068	1250.87	590.6	1026.08	471.62	1806.12	2190.67	3885.48	1988.78
ID222069	428	416	388	446	228	95	270	148
ID222070	318.23	2172.67	1123.12	2229.75	275.6	229.01	74.23	94.36
ID222071	59	204	222	820	47	22	43	37
ID222072	3.85	65.84	20.41	46.15	1.18	0	0	1
ID222073	0	0	0	0	208.82	0	1.67	101.76
ID222074	3126.11	4169.84	1030.01	1001.97	29913.64	6616.71	14840.7	2598.3
ID222075	49.02	100.3	10.82	25.03	437.67	117.33	144.77	233.4
ID222076	6.97	15.36	14.3	27.56	0	0	0	0
ID222077	17.54	129.87	16.23	122.63	9	1	1	3
ID222078	127	19	3	8	0	0	0	0
