ID	A1	A2	A3	A4	B1	B2	B3	B4
ID111116	39.09	93.51	19.74	24.49	235.06	119.97	202.11	162.56
ID111117	41.37	23.8	32.7	62.11	126.81	61.93	177.26	118.45
ID111118	978	1278	900	2140	499	122	406	298
ID111119	44	66	25	87	3799	24	75	2983
ID111120	0	0	0	0	11.96	18.56	125.32	3.61
ID111121	14.44	10.25	0	20.06	80.97	101.15	131.7	82.07
ID111122	76.56	133	26.88	116.53	8	3	11.48	0
ID111123	484	880	911	758	1566	897	1604	1274
ID111124	284	285	207	298	487	268	429.65	346
ID111125	0	2.05	0	0	0	124.78	217.7	167.84
ID111126	87.67	136.07	57.3	79.18	180.57	182.48	263.87	205.39
ID111127	36.09	161.59	181.53	214.3	13.83	15.69	21.41	17.34
ID111128	364.37	32.54	106.06	60.19	1761.56	1511.88	372.54	3880.32
ID111129	8.53	11.28	0	6.99	185.02	121.42	77.37	16.55
ID111130	1046	1738	1250	1897	817	432	811	545
ID111131	538	317	305	716	77	103	82	87
ID111132	0	151.28	125.92	181.33	0	0	0	0
ID111133	15.59	37.82	10.42	24.16	1137.51	17.15	22.81	1190.25
ID111134	90.51	158.24	95.96	1	0	1	1	0
ID111135	3129.43	8213.82	7247.16	5464.32	1242.46	1476.27	1052.33	586.13
ID111136	377.12	359.53	236.63	459.74	151.63	81.34	178.21	108.82
ID111137	15	13	13	4	256	10	180	86
ID111138	138	133	131	154	231	173	287	167
ID111139	73.42	54.33	4.77	16.76	0	0	0	0
ID111140	0	0	0	0	78.95	47.66	160	0
ID111141	683	784	657	863	1018	651	1066	711
ID111142	4.01	5.47	0.17	1	401.65	2.01	488.84	5.03
ID111143	1	6	2	17	267.79	5.86	13	827.1
ID111144	29	97.17	20	138.77	0	4	1	2
ID111145	0	0	0	0	168	24	136	0
ID111146	68	142.72	150.08	155.67	31	17	44	30
ID111147	217.03	309.83	221.3	362.91	102.64	28.76	126.44	45.42
ID111148	15.04	18.4	39.59	48.58	181.06	65.12	258.77	68.71
ID111149	0	0	0	0	0	66	160	50
ID111150	566	501	277	506	153	105	211	125
ID111151	50	27.38	43.79	65.13	444.66	194.3	442.05	40.61
ID111152	0	0	0	0	45.73	3.02	24.02	12.62
ID111153	20	18.68	27.32	32.87	581.3	14.21	179.24	215.11
ID111154	4619.52	6782.99	4737.33	5117.75	13885.37	8023.3	19900.46	5295.6
ID111155	0	15	1	1	1011	62	141	4
ID111156	22.56	33.58	21.15	27.79	78.26	33.62	68.25	59.48
ID111157	340.71	449.57	19.99	341.84	21.61	17.89	23.79	21.62
ID111158	16.82	25.83	20.02	10.96	0	0	0	0
ID111159	886	1042	947	1043	1696	989	1292	1064
ID111160	46.46	458.13	8.77	294.37	16	3	5	3
ID111161	0	155	180	127	0	0	1	1
ID111162	164.07	141.99	0	103.93	0	0.71	0	0
ID111163	17.51	17.71	27.08	21.62	111.06	45.46	76.99	33.65
ID111164	227	246	230	189	620	310	698	238
ID111165	167.43	121.58	156.41	234.3	318.52	267.71	544	267.64
ID111166	78	142	56.94	113	34	16	16	12
ID111167	261.18	306.63	313.06	284.3	603.59	275.37	477.68	342.14
ID111168	97	129	87	114	438	225	367	101
ID111169	6	5	2	3	317	0	172	82
ID111170	12.91	39.57	15.71	15.22	160.2	22.17	166.89	99.46
ID111171	160.44	53.95	285.89	440.29	29.45	28.94	14.57	16.39
ID111172	157	148	183	273	57	41	87	33
ID111173	284.61	2.1	11.89	74.55	1.07	1.08	0	0
ID111174	36.2	68.43	57.06	87.71	14.93	9	16	4
ID111175	243	215	143	272	70	62	54	54
ID111176	213.96	60.32	21.12	98.32	9.4	2	10.48	7.64
ID111177	817.15	1675.85	1265.9	52.59	46.1	66.34	6	6.97
ID111178	23	4	27	68	0	0	0	0
ID111179	560.41	844.63	646.39	986.14	290.23	206.57	450.88	251.1
ID111180	19278.48	9658.01	5971.67	55127.25	3172.63	2008.7	4192.54	1996.4
ID111181	20	22	17	16	0	0	0	1
ID111182	618.96	416.39	352.36	121	59	39	107	35
ID111183	61.16	32.29	37.73	70.82	53.78	276.55	399.75	332.09
ID111184	251.06	597.01	1038.97	611.5	61	2	0	1
ID111185	5200.98	5170.54	5362	5921	8735.99	4878	10897	9420.99
ID111186	725	782	590	1102	177	182	190	279
ID111187	0	1	0	0	81	34	114	0
ID111188	164.04	123.71	118.71	111.22	321.15	135	312.79	224.22
ID111189	223.8	367.35	9.03	346.15	0	0	0	8.05
ID111190	0	1	1	3	137	2.98	3	142
ID111191	2	139	144	132	4	2	5	0
ID111192	0	808.1	582	414.47	1	0	0	0
ID111193	627	552	383	540	1102	515	1350	680
ID111194	218	369	646	2332	108	70	109	96
ID111195	111.12	135.85	0	93.95	0	0.75	0	0
ID111196	9	5	37	93	0	0	0	0
ID111197	25	24	20	11	1	0	0	0
ID111198	1167	1259	1469	765	4756	4011	2028	2300
ID111199	82.84	3	63.48	64.58	0	0	2	0
ID111200	106.5	385.35	282.16	785.81	1237.06	1651.66	1201.8	1545.59
