ID	CT1-1	CT1-2	CT1-3	CT2-1	CT2-2	CT2-3	CT3-1	CT3-2	CT3-3	CT4-1	CT4-2	CT4-3
EdulChr65G00224420	14.13	13.68	12.91	4.36	5.9	5.49	9	7.32	5.83	4.34	3.7	4.32
EdulChr9G00041050	2.68	2.44	2.36	9.59	11.02	9.71	10.19	9.44	11.15	4.32	5.51	5.72
EdulChr55G00198170	2.31	2.88	2.55	3.26	4.02	2.6	2.37	3.15	2.38	2.39	2.51	2.16
EdulChr56G00199090	0	0	0	0	0	0	0	0	0	0	0	0
EdulChr29G00115770	17.49	18.21	14.32	7.76	8.01	7.1	9.15	14.18	11.18	6.65	7.58	6.37
EdulChr11G00046820	0	0.07	0.06	0.2	0.14	0.14	0.48	0.48	0.42	0.14	0.34	0.22
EdulChr19G00079350	18.55	20	16.51	19.27	19.2	17.18	43.18	44.01	45.77	35.41	39.33	37.66
EdulChr95G00302200	1.34	1.41	1.61	0.73	0.57	0.65	0.44	0.52	0.45	2.94	3.11	3.31
EdulChr30G00120060	11.55	11.02	9.77	7.35	7.01	6.48	12.94	12.67	13.36	8.69	8.65	9.21
EdulChr8G00034220	0	0	1.34	0	0	0	0	0	0	0	0	0
EdulChr5G00023560	19.62	19.33	18.93	17.94	17.9	19.63	13.77	14.73	16.26	13.49	13.53	10.63
EdulChr6G00028380	7.83	8.41	7.47	0.93	0.77	0.78	0.65	0.87	0.77	1.49	1.52	1.49
EdulChr82G00269520	27.02	27.53	24.25	13.25	12.79	13.73	19.15	17.31	16.34	13.06	14.75	13.69
EdulChr48G00177640	12.49	11.43	11.64	7.54	7.68	7.23	9.86	10.34	10.38	5.32	5.87	5.05
EdulChr39G00151650	1.56	1.31	1.91	0.13	0.05	0.09	0	0	0	0	0	0
EdulChr48G00178380	0	0	0	0	0	0	0	0	0	0	0	0
novel1334	1.67	2.06	1.31	1.3	1.01	1.15	1.25	1.56	1.38	1.56	1.74	1.57
EdulChr51G00186560	0.15	0.08	0.07	0	0	0	0	0	0	0	0	0
EdulChr107G00326920	1.16	1.5	1.58	8.13	9	8.37	27.61	28.19	27.35	11.12	12.55	12.54
EdulChr33G00131440	4.31	3.67	4.73	3.03	1.86	2.47	4.55	4.72	4.31	1.22	1.8	2.08
novel3652	12382.75	11940.99	22244.78	6928.32	5238.37	4225.63	3484.84	2950.59	2677.58	2778.36	3232.33	4036.21
